source,target,weight
CLAIRMONT RD NE @ BRIARCLIFF RD NE,CLAIRMONT RD NE @ AUDUBON DR,0.231
CLAIRMONT RD NE @ AUDUBON DR,CLAIRMONT RD NE @ MT BRIAN RD,0.102
CLAIRMONT RD NE @ MT BRIAN RD,CLAIRMONT RD NE @ COUNCIL BLUFF DR,0.156
CLAIRMONT RD NE @ COUNCIL BLUFF DR,CLAIRMONT RD NE @ GRACE ARBOR CT,0.079
CLAIRMONT RD NE @ GRACE ARBOR CT,CLAIRMONT RD NE @ BLACK FOX DR,0.199
CLAIRMONT RD NE @ BLACK FOX DR,CLAIRMONT RD NE @ PINE FOREST DR,0.143
CLAIRMONT RD NE @ PINE FOREST DR,CLAIRMONT RD @ LAVISTA RD,0.374
CLAIRMONT RD @ WILANDREW DR,CLAIRMONT RD @ AZALEA CIR,0.188
CLAIRMONT RD @ N WILLIAMSBURG DR,CLAIRMONT RD @ MCCONNELL DR,0.113
CLAIRMONT RD @ MASON MILL RD,CLAIRMONT RD @ BUTLER LN,0.031
CLAIRMONT RD @ SOUTHERN LN,VA HOSPITAL,0.094
CLAIRMONT RD @ CLAIRMONT LAKE,CLAIRMONT RD @ STARVINE WAY,0.228
CLAIREMONT AVE @ LAMONT DR,CLAIREMONT AVE @ WILTON DR,0.091
CLAIREMONT AVE @ WILTON DR,CLAIREMONT AVE @ PONCE DE LEON PL,0.11
CLAIREMONT AVE @ PONCE DE LEON PL,CLAIREMONT AVE @ 446,0.086
CLAIREMONT AVE @ 446,CLAIREMONT AVE @ HUNTER ST,0.087
COMMERCE DR @ CLAIREMONT AVE,COMMERCE DR @ BEAUMONT AVE,0.079
COMMERCE DR @ CLAIREMONT AVE,CHURCH ST @ 711,0.165
COMMERCE DR @ BEAUMONT AVE,COMMERCE DR @ W PONCE DE LEON AVE,0.113
COMMERCE DR @ W TRINITY PL,COMMERCE DR @ W HOWARD AVE,0.231
W HOWARD AVE @ DREXEL AVE,W HOWARD AVE @ PADEN CIR,0.201
NORTH DEKALB HEALTH CENTER,CLAIRMONT RD NE @ GEORGIAN DR E,0.073
MEMORIAL DR @ 4203,MEMORIAL DR @ NOTTINGHAM DR,0.333
MEMORIAL DR @ NOTTINGHAM DR,MEMORIAL DR @ 3978,0.232
MEMORIAL DR @ NOTTINGHAM DR,MEMORIAL DR @ COVINGTON HWY,0.189
MEMORIAL DR @ 3978,MEMORIAL DR @ COVINGTON DR,0.202
MEMORIAL DR @ COVINGTON DR,MEMORIAL DR @ 3850,0.187
MEMORIAL DR @ COVINGTON DR,MEMORIAL DR @ 3982,0.253
MEMORIAL DR @ 3850,MEMORIAL DR @ BOBBIE LN,0.145
MEMORIAL DR @ 3850,MEMORIAL DR @ COVINGTON DR,0.187
MEMORIAL DR @ BOBBIE LN,MEMORIAL DR @ BEECH DR,0.065
MEMORIAL DR @ BOBBIE LN,MEMORIAL DR @ 3850,0.145
MEMORIAL DR @ BEECH DR,MEMORIAL DR @ MIDWAY RD,0.245
MEMORIAL DR @ BEECH DR,MEMORIAL DR @ BOBBIE LN,0.065
MEMORIAL DR @ MIDWAY RD,MEMORIAL DR @ COLUMBIA DR,0.191
MEMORIAL DR @ MIDWAY RD,MEMORIAL DR @ BEECH DR,0.245
MEMORIAL DR @ COLUMBIA DR,MEMORIAL DR @ 3480,0.134
MEMORIAL DR @ COLUMBIA DR,MEMORIAL DR @ MIDWAY RD,0.191
MEMORIAL DR @ 3480,MEMORIAL DR @ HOOPER ALEXANDER DR,0.131
MEMORIAL DR @ HOOPER ALEXANDER DR,MEMORIAL DR @ RUPERT RD,0.162
MEMORIAL DR @ HOOPER ALEXANDER DR,MEMORIAL DR @ BELVEDERE PLAZA,0.089
MEMORIAL DR @ RUPERT RD,MEMORIAL DR @ CARTER RD,0.071
MEMORIAL DR @ RUPERT RD,MEMORIAL DR @ HOOPER ALEXANDER DR,0.162
MEMORIAL DR @ CARTER RD,MEMORIAL DR SE @ WOODFERN DR,0.318
MEMORIAL DR @ CARTER RD,MEMORIAL DR @ RUPERT RD,0.071
MEMORIAL DR SE @ WOODFERN DR,MEMORIAL DR SE @ DELANO DR,0.172
MEMORIAL DR SE @ DELANO DR,MEMORIAL DR SE @ VENICE DR,0.139
MEMORIAL DR SE @ VENICE DR,MEMORIAL DR SE @ ELLINGTON ST,0.179
MEMORIAL DR SE @ ELLINGTON ST,MEMORIAL DR SE @ CANDLER RD SE,0.125
MEMORIAL DR SE @ CANDLER RD SE,MEMORIAL DR SE @ OAKRIDGE AVE SE,0.155
MEMORIAL DR SE @ CANDLER RD SE,MEMORIAL DR @ RICHARD ALLEN DR,0.128
MEMORIAL DR SE @ CANDLER RD SE,CANDLER RD @ TUPELO ST,0.077
MEMORIAL DR SE @ OAKRIDGE AVE SE,MEMORIAL DR SE @ SPENCE AVE,0.114
MEMORIAL DR SE @ OAKRIDGE AVE SE,MEMORIAL DR SE @ CANDLER RD SE,0.155
MEMORIAL DR SE @ SPENCE AVE,MEMORIAL DR SE @ DANIEL AVE,0.124
MEMORIAL DR SE @ DANIEL AVE,MEMORIAL DR SE @ DANIEL AVE,0.0
MEMORIAL DR SE @ DANIEL AVE,MEMORIAL DR @ LAKE DR SE,0.255
MEMORIAL DR @ LAKE DR SE,MEMORIAL DR @ CARTER AVE,0.141
MEMORIAL DR @ LAKE DR SE,MEMORIAL DR SE @ GREEN AVE SE,0.067
MEMORIAL DR @ CARTER AVE,MEMORIAL DR @ COTTAGE GROVE AVE,0.062
MEMORIAL DR @ COTTAGE GROVE AVE,MEMORIAL DR SE @ 1ST AVE,0.28
MEMORIAL DR SE @ 1ST AVE,MEMORIAL DR @ E LAKE TER,0.169
MEMORIAL DR SE @ 1ST AVE,2ND AVE SE @ 90,0.158
MEMORIAL DR SE @ 1ST AVE,EVA DAVIS WAY SE @ MEMORIAL DR SE,0.211
MEMORIAL DR @ E LAKE TER,MEMORIAL DR SE @ 2154,0.186
MEMORIAL DR SE @ 2154,MEMORIAL DR SE @ DOUGLAS ST SE,0.129
MEMORIAL DR SE @ 2154,MEMORIAL DR SE @ WATSON CIR,0.102
MEMORIAL DR SE @ DOUGLAS ST SE,MEMORIAL DR @ PALATKA ST SE,0.107
MEMORIAL DR SE @ DOUGLAS ST SE,MEMORIAL DR SE @ 2154,0.129
MEMORIAL DR @ PALATKA ST SE,MEMORIAL DR SE @ S HOWARD ST,0.129
MEMORIAL DR SE @ S HOWARD ST,MEMORIAL DR SE @ WARREN ST SE,0.154
MEMORIAL DR SE @ WARREN ST SE,MEMORIAL DR SE @ WILKINSON DR SE,0.144
MEMORIAL DR SE @ WARREN ST SE,MEMORIAL DR SE @ ELEANOR ST,0.079
MEMORIAL DR SE @ WILKINSON DR SE,MEMORIAL DR SE @ CLIFTON ST SE,0.183
MEMORIAL DR SE @ WILKINSON DR SE,MEMORIAL DR SE @ WARREN ST SE,0.144
MEMORIAL DR SE @ CLIFTON ST SE,MEMORIAL DR SE @ WYMAN ST SE,0.115
MEMORIAL DR SE @ CLIFTON ST SE,MEMORIAL DR SE @ WILKINSON DR SE,0.183
MEMORIAL DR SE @ WYMAN ST SE,MEMORIAL DR SE @ DIXIE ST SE,0.108
MEMORIAL DR SE @ DIXIE ST SE,MEMORIAL DR SE @ 1560,0.099
MEMORIAL DR SE @ DIXIE ST SE,MEMORIAL DR SE @ CLIFTON ST SE,0.222
MEMORIAL DR SE @ 1560,MEMORIAL DR SE @ LAMON AVE SE,0.056
MEMORIAL DR SE @ LAMON AVE SE,MEMORIAL DR SE @ EASTSIDE AVE SE,0.07
MEMORIAL DR SE @ EASTSIDE AVE SE,MEMORIAL DR SE @ PATTERSON AVE SE,0.181
MEMORIAL DR SE @ EASTSIDE AVE SE,MEMORIAL DR SE @ 1599,0.124
MEMORIAL DR SE @ PATTERSON AVE SE,MEMORIAL DR SE @ DAHLGREEN ST SE,0.143
MEMORIAL DR SE @ PATTERSON AVE SE,MEMORIAL DR SE @ MEMORIAL TER SE,0.029
MEMORIAL DR SE @ DAHLGREEN ST SE,MEMORIAL DR SE @ MORELAND AVE SE,0.166
MEMORIAL DR SE @ MORELAND AVE SE,MEMORIAL DR SE @ FLAT SHOALS AVE SE,0.124
MEMORIAL DR SE @ MORELAND AVE SE,MEMORIAL DR SE @ TRENTON ST SE,0.136
MEMORIAL DR SE @ FLAT SHOALS AVE SE,MEMORIAL DR SE @ WILBUR AVE SE,0.145
MEMORIAL DR SE @ WILBUR AVE SE,MEMORIAL DR SE @ GIBSON ST SE,0.151
MEMORIAL DR SE @ WILBUR AVE SE,MEMORIAL DR SE @ HOWELL DR SE,0.124
MEMORIAL DR SE @ GIBSON ST SE,MEMORIAL DR SE @ CHESTER AVE SE,0.205
MEMORIAL DR SE @ GIBSON ST SE,MEMORIAL DR SE @ WILBUR AVE SE,0.151
MEMORIAL DR SE @ CHESTER AVE SE,MEMORIAL DR SE @ PEARL ST SE,0.163
MEMORIAL DR SE @ PEARL ST SE,MEMORIAL DR SE @ BEREAN AVE SE,0.27
MEMORIAL DR SE @ PEARL ST SE,MEMORIAL DR SE @ BILL KENNEDY WAY,0.189
MEMORIAL DR SE @ BEREAN AVE SE,MEMORIAL DR @ PARK AVE,0.21
MEMORIAL DR @ PARK AVE,MEMORIAL DR @ CHEROKEE AVE,0.211
MEMORIAL DR @ CHEROKEE AVE,MEMORIAL DR @ GRANT ST,0.185
MEMORIAL DR @ CHEROKEE AVE,MEMORIAL DR SE @ PARK AVE SE,0.257
MEMORIAL DR SE @ MARTIN ST SE,MEMORIAL DR SE @ FRASER ST SE,0.151
MEMORIAL DR SE @ FRASER ST SE,GA STATE STATION - PIEDMONT AVE,0.236
GA STATE STATION - PIEDMONT AVE,PIEDMONT AVE  SE @ GILMER ST SE,0.2
COCA COLA PL SE @ JESSE HILL JR DR SE,PRATT ST SE @ DECATUR ST SE (GRADY HOSP),0.206
PRATT ST SE @ DECATUR ST SE (GRADY HOSP),DECATUR ST @ PIEDMONT AVE,0.174
PRATT ST SE @ DECATUR ST SE (GRADY HOSP),GA STATE STATION - JESSE HILL JR DR,0.209
PRATT ST SE @ DECATUR ST SE (GRADY HOSP),DECATUR ST SE @ HILL ST,0.153
DECATUR ST @ PIEDMONT AVE,DECATUR ST SE @ COLLINS ST SE,0.112
DECATUR ST SE @ PEACHTREE CENTER AVE,FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),0.295
DECATUR ST SE @ PEACHTREE CENTER AVE,MARIETTA ST NW @ TED TURNER DR,0.383
MITCHELL ST SW @ PEACHTREE ST,MITCHELL ST SW @ PRYOR ST SW,0.079
MITCHELL ST SW @ PRYOR ST SW,MITCHELL ST SW @ SHIRLEY C FRANKLIN BLVD,0.093
MITCHELL ST SW @ SHIRLEY C FRANKLIN BLVD,MEMORIAL DR @ WASHINGTON ST,0.196
MEMORIAL DR @ WASHINGTON ST,MEMORIAL DR SE @ CAPITOL AVE,0.183
MEMORIAL DR @ WASHINGTON ST,GA STATE STATION - PIEDMONT AVE,0.314
MEMORIAL DR SE @ CAPITOL AVE,MEMORIAL DR SE @ KING ST,0.224
MEMORIAL DR SE @ KING ST,MEMORIAL DR SE @ HILL ST SE,0.152
MEMORIAL DR @ GRANT ST SE,MEMORIAL DR @ CHEROKEE AVE,0.122
MEMORIAL DR SE @ PARK AVE SE,MEMORIAL DR SE @ CAMERON ST SE,0.243
MEMORIAL DR SE @ CAMERON ST SE,MEMORIAL DR SE @ PEARL ST SE,0.191
MEMORIAL DR SE @ BILL KENNEDY WAY,MEMORIAL DR SE @ GIBSON ST SE,0.179
MEMORIAL DR SE @ BILL KENNEDY WAY,BILL KENNEDY WAY SE @ FAITH AVE SE,0.321
MEMORIAL DR SE @ HOWELL DR SE,MEMORIAL DR SE @ MORELAND AVE SE,0.143
MEMORIAL DR SE @ TRENTON ST SE,MEMORIAL DR SE @ HAAS AVE SE,0.084
MEMORIAL DR SE @ HAAS AVE SE,MEMORIAL DR SE @ PATTERSON AVE SE,0.089
MEMORIAL DR SE @ MEMORIAL TER SE,MEMORIAL DR SE @ EASTSIDE AVE SE,0.152
MEMORIAL DR SE @ 1599,MEMORIAL DR SE @ DIXIE ST SE,0.101
MEMORIAL DR SE @ ELEANOR ST,MEMORIAL DR @ S HOWARD ST,0.16
MEMORIAL DR @ S HOWARD ST,MEMORIAL DR SE @ DOUGLAS ST SE,0.15
MEMORIAL DR SE @ WATSON CIR,MEMORIAL DR SE @ 2ND AVE SE,0.373
MEMORIAL DR SE @ 2ND AVE SE,MEMORIAL DR SE @ COTTAGE GROVE AVE SE,0.124
MEMORIAL DR SE @ COTTAGE GROVE AVE SE,MEMORIAL DR SE @ CARTER AVE SE,0.087
MEMORIAL DR SE @ CARTER AVE SE,MEMORIAL DR @ LAKE DR SE,0.152
MEMORIAL DR SE @ GREEN AVE SE,MEMORIAL DR SE @ DANIEL AVE SE,0.177
MEMORIAL DR SE @ DANIEL AVE SE,MEMORIAL DR SE @ DANIEL AVE SE,0.0
MEMORIAL DR SE @ DANIEL AVE SE,MEMORIAL DR SE @ SPENCE AVE SE,0.122
MEMORIAL DR SE @ SPENCE AVE SE,MEMORIAL DR SE @ OAKRIDGE AVE SE,0.128
MEMORIAL DR @ RICHARD ALLEN DR,MEMORIAL DR @ VENICE DR,0.174
MEMORIAL DR @ VENICE DR,MEMORIAL DR @ DELANO DR,0.173
MEMORIAL DR @ DELANO DR,MEMORIAL DR @ LINE ST,0.17
MEMORIAL DR @ LINE ST,MEMORIAL DR @ CARTER RD,0.294
MEMORIAL DR @ LINE ST,FAIRLEE DR @ CONWAY RD,0.101
MEMORIAL DR @ BELVEDERE PLAZA,MEMORIAL DR @ COLUMBIA DR,0.177
MEMORIAL DR @ 3982,MEMORIAL DR @ NOTTINGHAM DR,0.18
MEMORIAL DR @ COVINGTON HWY,KENSINGTON STATION,0.23
INDIAN CREEK STATION - INSIDE BUS LOOP,DURHAM PARK RD @ S INDIAN CREEK DR,0.219
INDIAN CREEK STATION - INSIDE BUS LOOP,REDAN RD @ SAGEHILL DR,0.441
INDIAN CREEK STATION - INSIDE BUS LOOP,ELDER RD @ REDAN RD,0.406
DURHAM PARK RD @ S INDIAN CREEK DR,S INDIAN CREEK DR @ ROWLAND RD,0.354
DURHAM PARK RD @ S INDIAN CREEK DR,INDIAN CREEK STATION - INSIDE BUS LOOP,0.219
S INDIAN CREEK DR @ ROWLAND RD,S INDIAN CREEK DR @ REDAN RD,0.224
S INDIAN CREEK DR @ ROWLAND RD,DURHAM PARK RD @ S INDIAN CREEK DR,0.354
S INDIAN CREEK DR @ REDAN RD,S INDIAN CREEK DR @ CROSSINGS WAY,0.154
S INDIAN CREEK DR @ REDAN RD,S INDIAN CREEK DR @ ROWLAND RD,0.224
S INDIAN CREEK DR @ CROSSINGS WAY,S INDIAN CREEK DR @ SENECA WAY,0.184
S INDIAN CREEK DR @ SENECA WAY,S INDIAN CREEK DR @ CARROLLWOOD DR,0.142
S INDIAN CREEK DR @ SENECA WAY,S INDIAN CREEK DR @ CREEK CT,0.181
S INDIAN CREEK DR @ CARROLLWOOD DR,S INDIAN CREEK DR @ CHEDWORTH WAY,0.336
S INDIAN CREEK DR @ CARROLLWOOD DR,S INDIAN CREEK DR @ SENECA WAY,0.142
S INDIAN CREEK DR @ CHEDWORTH WAY,S INDIAN CREEK DR @ INDIAN CREEK CIR,0.123
S INDIAN CREEK DR @ INDIAN CREEK CIR,S INDIAN CREEK DR @ INCA CT,0.098
S INDIAN CREEK DR @ INCA CT,COVINGTON HWY @ 4414,0.192
S INDIAN CREEK DR @ INCA CT,S INDIAN CREEK DR @ COLONY EAST DR,0.191
COVINGTON HWY @ 4414,COVINGTON HWY @ 4360,0.16
COVINGTON HWY @ 4360,REDWING CIR @ COVINGTON HWY,0.167
COVINGTON HWY @ 4360,COVINGTON HWY @ MARGARETTE DR,0.202
REDWING CIR @ COVINGTON HWY,REDWING CIR @ AUSTIN DR,0.291
REDWING CIR @ COVINGTON HWY,COVINGTON HWY @ 4319,0.114
REDWING CIR @ AUSTIN DR,AUSTIN DR @ TOWERS WAY,0.273
AUSTIN DR @ TOWERS WAY,AUSTIN DR @ COREY BLVD,0.25
AUSTIN DR @ COREY BLVD,AUSTIN DR @ GLENWOOD RD,0.389
AUSTIN DR @ COREY BLVD,AUSTIN DR @ AUSTIN MEADOWS DR,0.268
AUSTIN DR @ GLENWOOD RD,GLENWOOD RD @ IRIS LN,0.135
GLENWOOD RD @ IRIS LN,GLENWOOD RD @ 4371,0.126
GLENWOOD RD @ 4371,GLENWOOD RD @ HOLLYHOCK TER,0.166
GLENWOOD RD @ 4371,GLENWOOD RD @ HIGH COURT PL,0.155
GLENWOOD RD @ HOLLYHOCK TER,GLENWOOD RD @ MISTY VALLEY RD,0.247
GLENWOOD RD @ HOLLYHOCK TER,GLENWOOD RD @ 4371,0.166
GLENWOOD RD @ MISTY VALLEY RD,GLENWOOD RD @ 4100,0.186
GLENWOOD RD @ 4100,COLUMBIA DR @ GLENWOOD RD,0.178
GLENWOOD RD @ 4100,GLENWOOD RD @ COLUMBIA DR,0.142
COLUMBIA DR @ GLENWOOD RD,COLUMBIA DR @ SPRING LAKE DR,0.161
COLUMBIA DR @ GLENWOOD RD,GLENWOOD RD @ 4115,0.14
COLUMBIA DR @ GLENWOOD RD,COLUMBIA DR @ GLENWOOD RD,0.0
COLUMBIA DR @ GLENWOOD RD,COLUMBIA DR @ PEACHCREST RD,0.328
COLUMBIA DR @ SPRING LAKE DR,COLUMBIA DR @ SNAPFINGER RD,0.082
COLUMBIA DR @ SPRING LAKE DR,COLUMBIA DR @ ELGIN DR,0.112
COLUMBIA DR @ SPRING LAKE DR,SNAPFINGER RD @ COLUMBIA DR,0.104
COLUMBIA DR @ SNAPFINGER RD,COLUMBIA DR @ MCAFEE RD,0.123
COLUMBIA DR @ SNAPFINGER RD,COLUMBIA DR @ SPRING LAKE DR,0.082
COLUMBIA DR @ MCAFEE RD,MCAFEE RD @ PINEDALE PL,0.117
COLUMBIA DR @ MCAFEE RD,COLUMBIA DR @ HYLAND DR,0.105
MCAFEE RD @ PINEDALE PL,MCAFEE RD @ SHAMROCK DR,0.168
MCAFEE RD @ PINEDALE PL,COLUMBIA DR @ WICKHAM DR,0.133
MCAFEE RD @ SHAMROCK DR,MCAFEE RD @ BANDERA DR,0.129
MCAFEE RD @ SHAMROCK DR,MCAFEE RD @ PINEDALE PL,0.168
MCAFEE RD @ SHAMROCK DR,SHAMROCK DR @ SANDUSKY DR,0.086
MCAFEE RD @ BANDERA DR,MCAFEE RD @ LAUREL LN,0.088
MCAFEE RD @ BANDERA DR,MCAFEE RD @ SHAMROCK DR,0.129
MCAFEE RD @ LAUREL LN,MCAFEE RD @ ROSEWOOD RD,0.059
MCAFEE RD @ LAUREL LN,MCAFEE RD @ BANDERA DR,0.088
MCAFEE RD @ ROSEWOOD RD,MCAFEE RD @ GLENDALE DR,0.092
MCAFEE RD @ ROSEWOOD RD,MCAFEE RD @ LAUREL LN,0.059
MCAFEE RD @ GLENDALE DR,MCAFEE RD @ SHANNON RIDGE CT,0.152
MCAFEE RD @ GLENDALE DR,MCAFEE RD @ ROSEWOOD RD,0.092
MCAFEE RD @ GLENDALE DR,GLENDALE DR @ 2095,0.208
MCAFEE RD @ SHANNON RIDGE CT,MCAFEE RD @ MEADOW LN,0.266
MCAFEE RD @ SHANNON RIDGE CT,MCAFEE RD @ GLENDALE DR,0.152
MCAFEE RD @ MEADOW LN,MCAFEE RD @ LONG DR,0.072
MCAFEE RD @ LONG DR,MCAFEE RD @ HOLLY HILL DR,0.082
MCAFEE RD @ HOLLY HILL DR,MCAFEE RD @ DELLWOOD PL,0.069
MCAFEE RD @ HOLLY HILL DR,MCAFEE RD @ SEAVEY DR,0.056
MCAFEE RD @ DELLWOOD PL,MCAFEE RD @ WILLA WAY,0.13
MCAFEE RD @ DELLWOOD PL,MCAFEE RD @ HOLLY HILL DR,0.069
MCAFEE RD @ WILLA WAY,MCAFEE RD @ DON JUAN LN,0.11
MCAFEE RD @ WILLA WAY,MCAFEE RD @ DELLWOOD PL,0.13
MCAFEE RD @ DON JUAN LN,MCAFEE RD @ WILLA DR,0.069
MCAFEE RD @ DON JUAN LN,MCAFEE RD @ WILLA WAY,0.11
MCAFEE RD @ WILLA DR,MCAFEE RD @ CANDLER RD,0.176
MCAFEE RD @ WILLA DR,MCAFEE RD @ DON JUAN LN,0.069
MCAFEE RD @ CANDLER RD,MCAFEE RD @ WINDYHILL RD,0.127
MCAFEE RD @ CANDLER RD,MCAFEE RD @ WILLA DR,0.176
MCAFEE RD @ WINDYHILL RD,MCAFEE RD @ NORMAL ST,0.263
MCAFEE RD @ WINDYHILL RD,MCAFEE RD @ CANDLER RD,0.127
MCAFEE RD @ NORMAL ST,MCAFEE RD @ HOOPER ST,0.066
MCAFEE RD @ NORMAL ST,MCAFEE RD @ WINDYHILL RD,0.263
MCAFEE RD @ HOOPER ST,MCAFEE RD @ STANTON ST,0.076
MCAFEE RD @ HOOPER ST,MCAFEE RD @ NORMAL ST,0.066
MCAFEE RD @ STANTON ST,MCAFEE RD @ MARION CIR,0.085
MCAFEE RD @ STANTON ST,MCAFEE RD @ HOOPER ST,0.076
MCAFEE RD @ MARION CIR,MCAFEE RD @ W LAKESIDE DR,0.137
MCAFEE RD @ MARION CIR,MCAFEE RD @ STANTON ST,0.085
MCAFEE RD @ W LAKESIDE DR,MCAFEE RD @ QUILLIAN AVE,0.113
MCAFEE RD @ QUILLIAN AVE,MCAFEE RD @ DANIEL AVE,0.083
MCAFEE RD @ QUILLIAN AVE,MCAFEE RD @ KEHELEY DR,0.115
MCAFEE RD @ DANIEL AVE,MCAFEE RD @ PARKER AVE,0.052
MCAFEE RD @ DANIEL AVE,MCAFEE RD @ QUILLIAN AVE,0.083
MCAFEE RD @ PARKER AVE,MCAFEE RD @ MCAFEE PL,0.099
MCAFEE RD @ PARKER AVE,MCAFEE RD @ DANIEL AVE,0.052
MCAFEE RD @ MCAFEE PL,MCAFEE RD @ STARMOUNT,0.095
MCAFEE RD @ MCAFEE PL,MCAFEE RD @ PARKER AVE,0.099
MCAFEE RD @ STARMOUNT,MCAFEE RD @ DELPHINE DR,0.109
MCAFEE RD @ DELPHINE DR,MCAFEE RD @ 2ND AVE,0.199
MCAFEE RD @ 2ND AVE,2ND AVE @ COGAR DR,0.159
MCAFEE RD @ 2ND AVE,MCAFEE RD @ DELPHINE WAY,0.24
2ND AVE @ COGAR DR,2ND AVE @ 1900,0.145
2ND AVE @ 1900,2ND AVE @ SWAZEY DR,0.169
2ND AVE @ 1900,2ND AVE @ KHALIL DR,0.152
2ND AVE @ SWAZEY DR,GLENWOOD AVE @ FAYETTEVILLE RD,0.115
2ND AVE @ SWAZEY DR,2ND AVE @ 1900,0.169
2ND AVE @ SWAZEY DR,2ND AVE SE @ GLENWOOD AVE SE,0.105
GLENWOOD AVE @ FAYETTEVILLE RD,GLENWOOD AVE SE @ EVA DAVIS WAY,0.161
GLENWOOD AVE @ FAYETTEVILLE RD,GLENWOOD AVE SE @ 2ND AVE SE,0.082
GLENWOOD AVE SE @ EVA DAVIS WAY,EVA DAVIS WAY @ GREENHAVEN DR SE,0.078
GLENWOOD AVE SE @ EVA DAVIS WAY,GLENWOOD AVE SE @ LOMITA RD SE,0.393
GLENWOOD AVE SE @ EVA DAVIS WAY,GLENWOOD AVE @ FAYETTEVILLE RD,0.161
EVA DAVIS WAY @ GREENHAVEN DR SE,EVA DAVIS WAY @ FOREST LAKES AVE,0.166
EVA DAVIS WAY @ FOREST LAKES AVE,EVA DAVIS WAY SE @ MEMORIAL DR,0.254
EVA DAVIS WAY SE @ MEMORIAL DR,MEMORIAL DR SE @ 1ST AVE,0.196
2ND AVE SE @ 90,HOSEA WILLIAMS DR @ 2ND AVE,0.129
2ND AVE SE @ 90,2ND AVE NE @ HOSEA L WILLIAMS DR NE,0.142
HOSEA WILLIAMS DR @ 2ND AVE,HOSEA L WILLIAMS DR @ 1ST AVE,0.067
HOSEA L WILLIAMS DR @ 1ST AVE,HOSEA L WILLIAMS DR @ LAKEVIEW DR NE,0.174
HOSEA L WILLIAMS DR @ LAKEVIEW DR NE,HOSEA L WILLIAMS DR NE @ ROCKYFORD RD NE,0.108
HOSEA L WILLIAMS DR NE @ ROCKYFORD RD NE,HOSEA L WILLIAMS DR NE @ BATES AVE NE,0.074
HOSEA L WILLIAMS DR NE @ BATES AVE NE,HOSEA L WILLIAMS DR NE @ BRANHAM ST NE,0.077
HOSEA L WILLIAMS DR NE @ BRANHAM ST NE,HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,0.112
HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,HOSEA L WILLIAMS DR @ KIRKWOOD RD,0.05
HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,HOSEA L WILLIAMS DR NE @ BATES AVE SE,0.171
HOSEA L WILLIAMS DR @ KIRKWOOD RD,HOSEA L WILLIAMS DR @ HOWARD ST NE,0.122
HOSEA L WILLIAMS DR @ HOWARD ST NE,HOSEA L WILLIAMS DR @ DOYLE ST SE,0.061
HOSEA L WILLIAMS DR @ DOYLE ST SE,HOSEA L WILLIAMS DR @ WARREN ST NE,0.102
HOSEA L WILLIAMS DR @ DOYLE ST SE,HOSEA L WILLIAMS DR @ HOWARD ST SE,0.108
HOSEA L WILLIAMS DR @ WARREN ST NE,HOSEA L WILLIAMS DR @ ROGERS ST NE,0.185
HOSEA L WILLIAMS DR @ ROGERS ST NE,HOSEA L WILLIAMS DR NE @ CLAY ST NE,0.075
HOSEA L WILLIAMS DR NE @ CLAY ST NE,HOSEA L WILLIAMS DR @ CLIFTON ST NE,0.072
HOSEA L WILLIAMS DR @ CLIFTON ST NE,HOSEA L WILLIAMS DR @ WYMAN ST NE,0.082
HOSEA L WILLIAMS DR @ CLIFTON ST NE,HOSEA L WILLIAMS DR @ CLAY ST NE,0.067
HOSEA L WILLIAMS DR @ WYMAN ST NE,HOSEA L WILLIAMS DR @ WOODBINE AVE,0.09
HOSEA L WILLIAMS DR @ WOODBINE AVE,HOSEA L WILLIAMS DR @ ANNISTON AVE SE,0.177
HOSEA L WILLIAMS DR @ ANNISTON AVE SE,HOSEA L WILLIAMS DR SE @ MAYSON AVE,0.049
HOSEA L WILLIAMS DR @ ANNISTON AVE SE,HOSEA L WILLIAMS DR @ WOODBINE AVE SE,0.17
HOSEA L WILLIAMS DR SE @ MAYSON AVE,HOSEA WILLIAMS DR @ WHITEFOORD AVE,0.193
HOSEA WILLIAMS DR @ WHITEFOORD AVE,WHITEFOORD AVE @ FINLEY ST,0.19
HOSEA WILLIAMS DR @ WHITEFOORD AVE,HOSEA L WILLIAMS DR @ ANNISTON AVE SE,0.242
WHITEFOORD AVE @ FINLEY ST,EDGEWOOD/CANDLER PARK STATION - SOUTH LOOP,0.402
WHITEFOORD AVE @ FINLEY ST,HOSEA WILLIAMS DR @ WHITEFOORD AVE,0.19
EDGEWOOD/CANDLER PARK STATION - SOUTH LOOP,WHITEFOORD AVE @ FINLEY ST,0.402
HOSEA L WILLIAMS DR @ WOODBINE AVE SE,HOSEA L WILLIAMS DR @ WYMAN ST SE,0.087
HOSEA L WILLIAMS DR @ WYMAN ST SE,HOSEA L WILLIAMS DR @ CLIFTON ST NE,0.091
HOSEA L WILLIAMS DR @ CLAY ST NE,HOSEA L WILLIAMS DR @ ROGERS ST SE,0.066
HOSEA L WILLIAMS DR @ ROGERS ST SE,HOSEA L WILLIAMS DR SE @ WARREN ST SE,0.156
HOSEA L WILLIAMS DR SE @ WARREN ST SE,HOSEA L WILLIAMS DR @ DOYLE ST SE,0.141
